mega_set_id	category	subcategory	description	member_pathways
HEART_FAILURE	Disease	Heart	Heart failure / cardiomyopathy gene sets	KEGG_DILATED_CARDIOMYOPATHY|KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM|KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
CARDIAC_ARRHYTHMIA	Disease	Heart	Cardiac conduction / arrhythmogenic substrate	REACTOME_CARDIAC_CONDUCTION|KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING|KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
ATHEROSCLEROSIS	Disease	Vasculature	Atherosclerotic vascular disease (lipid-laden / platelet-LDL / leukocyte transmigration)	REACTOME_PLATELET_SENSITIZATION_BY_LDL|KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION|REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL
THROMBOSIS	Disease	Vasculature	Thrombosis / coagulation cascade	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES|REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION|REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION|HALLMARK_COAGULATION
VASCULAR_DYSFUNCTION	Disease	Vasculature	Endothelial dysfunction / disturbed-flow response	REACTOME_TURBULENT_OSCILLATORY_DISTURBED_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_ENDOTHELIAL_CELLS|REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY|HALLMARK_ANGIOGENESIS
MUSCLE_ATROPHY	Disease	Muscle	Skeletal muscle atrophy (FOXO-driven catabolic program)	REACTOME_FOXO_MEDIATED_TRANSCRIPTION|REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES|REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES|REACTOME_REGULATION_OF_FOXO_TRANSCRIPTIONAL_ACTIVITY_BY_ACETYLATION
OBESITY	Disease	Adipose	Obesity / dysregulated leptin-ghrelin-adipogenesis axis	REACTOME_SIGNALING_BY_LEPTIN|REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN|HALLMARK_ADIPOGENESIS
DYSLIPIDEMIA	Disease	Adipose	Dyslipidemia / aberrant triglyceride and cholesterol handling	REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_TRIGLYCERIDE_LIPOLYSIS_IN_ADIPOSE|REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX|REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS
FATTY_LIVER	Disease	Liver	NAFLD / MASLD lipogenic program	REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS|REACTOME_LIPID_PARTICLE_ORGANIZATION|HALLMARK_FATTY_ACID_METABOLISM
CHOLESTASIS	Disease	Liver	Cholestatic bile acid dysregulation	REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_CONTROL_BILE_ACID_HOMEOSTASIS|KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS|REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM
GLYCOGEN_STORAGE	Disease	Liver	Glycogen storage disease / aberrant glycogen metabolism	REACTOME_GLYCOGEN_METABOLISM|REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS|REACTOME_GLYCOGEN_SYNTHESIS
CKD_RAAS	Disease	Kidney	CKD / hypertension — renin-angiotensin-aldosterone axis	KEGG_RENIN_ANGIOTENSIN_SYSTEM|KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY|REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS
RENAL_CELL_CARCINOMA	Disease	Kidney	Renal cell carcinoma	KEGG_RENAL_CELL_CARCINOMA
DIABETES	Disease	Pancreas	Diabetes (T1D, T2D, MODY — all KEGG diabetes maps)	KEGG_TYPE_I_DIABETES_MELLITUS|KEGG_TYPE_II_DIABETES_MELLITUS|KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG
BETA_DEDIFFERENTIATION	Disease	Pancreas	Beta-cell identity loss / dedifferentiation (EMT gene set as proxy; Talchai et al. Cell 2012)	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
CIRCADIAN_DISRUPTION	Disease	Hypothalamus	Circadian misalignment / shift-work metabolic disease proxy	KEGG_CIRCADIAN_RHYTHM_MAMMAL|REACTOME_CIRCADIAN_CLOCK|REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION
FIBROSIS	Disease	Cross-tissue	Tissue fibrosis (ECM deposition + MMP remodeling)	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION|REACTOME_COLLAGEN_FORMATION|REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX|REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES
AUTOIMMUNE_COMORBIDITY	Disease	Cross-tissue	Autoimmune thyroid + allograft rejection	KEGG_AUTOIMMUNE_THYROID_DISEASE|KEGG_ALLOGRAFT_REJECTION
AGE_RAGE	Disease	Cross-tissue	AGE-RAGE signaling / hyperglycemic tissue damage	KEGG_MEDICUS_REFERENCE_AGE_RAGE_SIGNALING_PATHWAY
CARDIAC_CONTRACTION	Physiology	Heart	Cardiac muscle contraction and conduction	KEGG_CARDIAC_MUSCLE_CONTRACTION|REACTOME_CARDIAC_CONDUCTION|REACTOME_STRIATED_MUSCLE_CONTRACTION
CARDIAC_EXCITATION_COUPLING	Physiology	Heart	Cardiac excitation-contraction coupling (VGCC-RyR)	KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING|REACTOME_MUSCLE_CONTRACTION
VSMC_TONE	Physiology	Vasculature	Vascular smooth muscle tone	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION|REACTOME_SMOOTH_MUSCLE_CONTRACTION
ENDOTHELIAL_MECHANOSENSING	Physiology	Vasculature	Laminar-flow mechanosensing in endothelium	REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS|REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL
ANGIOGENESIS	Physiology	Vasculature	Angiogenesis and vascular permeability	HALLMARK_ANGIOGENESIS|REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY
PLATELET_HOMEOSTASIS	Physiology	Vasculature	Platelet homeostasis	REACTOME_PLATELET_HOMEOSTASIS|REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION
SKELETAL_MUSCLE_CONTRACTION	Physiology	Muscle	Skeletal muscle contraction	REACTOME_STRIATED_MUSCLE_CONTRACTION|REACTOME_MUSCLE_CONTRACTION|KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING
MYOGENESIS	Physiology	Muscle	Myogenic differentiation program	HALLMARK_MYOGENESIS|REACTOME_MYOGENESIS
MUSCLE_MITOCHONDRIAL_REMODELING	Physiology	Muscle	PGC-1alpha-driven mitochondrial remodeling (endurance adaptation)	REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION|REACTOME_MITOCHONDRIAL_BIOGENESIS
ADIPOGENESIS	Physiology	Adipose	Adipocyte differentiation	HALLMARK_ADIPOGENESIS
PPAR_ADIPOSE	Physiology	Adipose	PPAR signaling in adipose (PPARalpha/gamma lipid programs)	KEGG_PPAR_SIGNALING_PATHWAY|REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA
